Аллергология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Наложение швов на ЛОР-органы,0,500,500,15,A16.25.004
Орошение задней стенки глотки лекарственными препаратами,0,300,300,15,
Остановка кровотечения полости носа методом дитатермокоагуляции (1 половина),0,1500,1500,15,А16.12.020.002
Остановка кровотечения полости носа методом химической коагуляции (нитрат серебра),0,1200,1200,15,
Передняя тампонада носа,0,1000,1000,15,A16.08.006.001
"Постановка функциональных проб (Ринне, Федеричи)",0,500,500,15,
"Прием (осмотр, консультация) врача-оториноларинголога первичный",0,2000,2000,40,B01.028.001
"Прием (осмотр, консультация) врача-оториноларинголога повторный",0,2000,2000,40,B01.028.002
"Прием (осмотр, консультация) детского врача-оториноларинголога первичный",0,2000,0,40,
"Прием (осмотр, консультация) детского врача-оториноларинголога повторный",0,2000,0,40,
Продувание ушей по Политцеру,0,500,500,15,A16.25.012
Промывание лакун небных миндалин по методу Белоголовина (классический способ с использованием канюли),0,900,900,15,A16.08.016
Промывание ОНП по Проэтсу ( методом «кукушка»),0,1300,1300,15,A11.08.021.001
Промывание оперированной верхнечелюстной пазухи,0,1400,1400,15,A16.08.023
Пункция в/ч пазухи с промыванием,0,1500,1500,15,A11.08.004
Разведение краев разреза после вскрытия абсцесса,0,500,500,15,
Репозиция и фиксация костей носа при переломе ,0,5000,5000,15,A16.03.006
Санация трахеостомы,0,900,900,15,A14.08.002
Транстимпанальное введение лекарственных веществ методом нагнетения,0,600,600,15,A11.25.004.001
Туалет носа (Промывание околоносовых пазух и носоглотки),0,500,500,15,A11.08.021
Туалет носа после операции,0,600,600,15,A11.08.021
Туалет уха (Промывание среднего уха),0,600,600,15,A11.25.003
Туалет уха после радикальной операции,0,700,700,15,A11.08.021
Удаление инородного тела из гортани,0,1700,1700,15,A16.08.007
Удаление инородного тела из носа,0,1300,1300,15,A16.08.011
Удаление инородного тела из ротоглотки,0,1000,1000,15,A16.08.007
Удаление инородного тела из слухового отверстия,0,1500,1500,15,A16.25.008
Удаление серной пробки (1 ухо),0,900,900,15,A16.25.007
Эндоскопия гортани,0,1500,1500,15,
Эндоскопия носа и носоглотки,0,1500,1500,15,
Офтальмология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Анестезия инъекционная (ультракаин) в офтальмологии,0,700,0,10,
Аутоцитоплазма (1 глаз),0,2500,0,30,
Аутоцитоплазма курс 3 процедуры (2 глаза),0,12000,0,30,
Биомикроскопия,0,500,0,10,A03.26.001
Введение Дипроспана,0,3000,0,30,
Взятие материала (ресницы) на демодекс,0,300,0,15,
Гониоскопия (2 глаза),0,1400,0,40,A03.26.002
Замена мягкой контактной линзы (МКЛ),0,200,0,10,
Измерение ВГД,0,800,0,30,A02.26.015
Инстиляция лекарственных веществ (2 глаза),0,200,0,5,A14.26.002
Исследование цветоощущения по полихроматическим таблицам,0,400,0,10,A02.26.009
Кератометрия (2 глаза),0,700,0,10,A03.26.011
"Комплексное диагностическое обследование с консультацией врача офтальмолога (рефракция, тонометрия, биомикроскопия, офтальмоскопия с узким зрачком)",0,7000,0,40,
Массаж век 1 сеанс,0,1000,0,15,A21.26.001
Офтальмоскопия  зеркальный  офтальмоскоп (оба глаза) линза Гольдмана,0,2200,0,40,A02.26.003
Офтальмоскопия  с асферической линзой с узким зрачком,0,700,0,30,A02.26.003
"Офтальмоскопия  с асферической линзой, с широким зрачком (мидриаз)",0,1900,0,30,A02.26.003
Парабульбарная инъекция ( 1 глаз),0,600,0,15,
Периметрия,0,1200,0,30,A02.26.005
Подбор очковой и контактной коррекции (взрослые),0,700,0,20,A23.26.001
Подбор очковой и контактной коррекции астигматической (взрослые),0,1200,0,20,
"Прием (осмотр, консультация) врача офтальмолога повторный",0,2000,0,30,
"Прием (осмотр, консультация) врача-офтальмолога первичный + визометрия + авторефрактор + пневмотонометр",0,2800,0,40,
"Прием (осмотр, консультация) врача-офтальмолога первичный + определение остроты зрения на проекторе (визометрия)",0,2000,0,30,B01.029.001
"Прием (осмотр, консультация) детского врача офтальмолога повторный",0,2000,0,30,
"Прием (осмотр, консультация) детского врача-офтальмолога первичный + визометрия + авторефрактор + пневмотонометр",0,2800,0,40,
"Прием (осмотр, консультация) детского врача-офтальмолога первичный + определение остроты зрения на проекторе (визометрия)",0,2000,0,30,
Прием врача-офтальмолога по результатам анализов,0,1000,0,20,
Промывание конъюнктивальной полости (1 глаз),0,300,0,10,A21.26.019
Промывание слезных путей (1 глаз),0,1800,0,30,A11.26.004
Рефрактометрия,0,700,0,5,A03.26.008
Рефрактометрия с широким зрачком,0,1000,0,30,
Субконъюнктивальная инъекция (1 глаз),0,800,0,15,
Тест (проба) Ширмера (2 глаза),0,800,0,10,A02.26.020
Удаление инородного тела коньюктивальной полости (1 глаз),0,900,0,30,A16.26.034
Удаление инородного тела роговицы (1 глаз),0,1800,0,30,A16.26.051
"Удаление папиллом (область век) радиоволновым методом 1 шт (до 0,5 мм)",0,1000,0,40,
"Удаление папиллом (область век) радиоволновым методом 1 шт (от 0,5 мм)",0,1500,0,40,
Удаление роговичных швов,0,1500,0,40,
Удаление холязиона,0,5000,0,30,
Флюорисциновая проба,0,500,0,10,A02.26.018
Эпиляция ресниц при трихиазе (1 глаз),0,700,0,15,A16.26.016
Педиатрия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Вызов педиатра на дом,0,4000,0,60,
Первичный прием врача педиатра,0,2000,0,30,B01.031.001
Повторный прием врача педиатра,0,2000,0,30,B01.031.002
Прием педиатра (подбор индивидуальной программы лечения и питания),0,3800,0,60,
Проктология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Аппликационная анестезия в колопроктологии,0,800,0,10,
Аппликационная терапия с применением обезболивающих и противовоспалительных мазей и гелей,0,900,0,10,
Безоперационное лечение геморроя методом лигирования 1 стадия (комплекс необходимых процедур и манипуляций),0,20000,0,60,
Безоперационное лечение геморроя методом лигирования 2 стадия (комплекс необходимых процедур и манипуляций),0,30000,0,60,
Безоперационное лечение трещины (комплекс необходимых процедур и манипуляций),0,14000,0,40,
Биопсия новообразований перианальной и анальной областей с гистологическим исследованием полученного материала,0,5500,0,10,
Ботулинотерапия (ботокс) Релатокс 1 ед. в колопроктологии,0,300,0,40,
Введение лекарственного препарата ректально,0,700,0,60,
Взятие образца биологического материала из очага поражения на патологические грибы в колопроктологии,0,700,0,10,
Взятие соскоба с перианальной области на энтеробиоз,0,500,0,10,
Видеоаноскопия,0,1500,0,30,
Видеоаноскопия и ректороманоскопия,0,3000,0,30,
Видеоректороманоскопия,0,1800,0,30,
Вправление ущемленного узла,0,4000,0,40,
Вскрытие парапроктита подкожно-слизистого,0,13500,0,60,
"Вскрытие парапроктита, подкожный",0,12000,0,60,
Дивульсия,0,2500,0,20,
Инфильтрационная анестезия в колопроктологии,0,2000,0,10,
Иссечение анальной бахромки 1 категории,0,4500,0,40,
Иссечение анальной бахромки 2 категории,0,10000,0,40,
"Иссечение анальной бахромки, единичные образования с гистологическим исследованием полученного материала",0,8000,0,60,
"Иссечение анальной бахромки, множественные образования с гистологическим исследованием полученного материала",0,14000,0,60,
Иссечение анальной трещины электрохирургическим методом,0,12000,0,60,A16.19.003.001
Иссечение неосложненного параректального свища электрохирургическим методом,0,18000,0,60,
Иссечение неосложненного свища анальной области электрохирургическим методом с гистологическим исследованием полученного материала,0,21000,0,60,
"Иссечение остроконечных кондилом перианальной области, анального канала  до 3х",0,6500,0,60,
"Иссечение остроконечных кондилом перианальной области, анального канала более 3х",0,9000,0,60,
Иссечение параректального свища,0,13000,0,60,
Коагуляция кровоточащего сосуда в колопроктологии,0,4000,0,30,
Консервативное лечение проктита,0,6000,0,30,
Лигирование геморроидальных узлов 1 категории сложности,0,10000,0,60,
Лигирование геморроидальных узлов 2 категории сложности,0,11000,0,60,
"Лигирование геморроидальных узлов, наложение 1 латексного кольца",0,6000,0,60,
Массаж сфинктера прямой кишки,0,1500,0,10,
Наложение повязки при операциях на прямой кишке,0,1200,0,5,
Остановка геморроидального кровотечения,0,6000,0,30,
Очищение кишечника микроклизмой,0,600,0,5,
Пальцевое ректальное исследование.,0,700,0,10,A01.19.004
Параректальная блокада,0,2500,0,10,
Перевязка у колопроктолога,0,1000,0,20,
Перианальная блокада,0,3000,0,10,
"Прием (осмотр, консультация) врача-колопроктолога первичный",0,2000,0,40,B01.018.001
"Прием (осмотр, консультация) врача-колопроктолога повторный",0,2000,0,40,B01.018.002
Прижигание слизистой прямой кишки,0,2000,0,30,A16.19.002
Проводниковая анестезия в колопроктологии,0,2000,0,10,
Разрез или иссечение перианальной ткани электрохирургическим методом,0,11000,0,60,
Ректороманоскопия,0,1100,0,40,A03.19.002
Ректосигмоидоскопия,0,1100,0,40,A03.19.004
Тромбэктомия с резекцией наружного геморроидального узла,0,14000,0,60,A16.19.044
Удаление инородного тела прямой кишки без разрезов,0,8000,0,30,
Удаление копролита,0,6000,0,20,A14.19.004
"Удаление папилом, кондилом электрохирургическим методом более 3х",0,6000,0,60,A16.01.017.001
"Удаление папилом, кондилом электрохирургическим методом до 3х",0,4000,0,60,A16.01.017.001
"Удаление полипа анального канала, прямой кишки 1 категории с гистологическим исследованием полученного материала",0,10000,0,60,A16.19.017
Удаление полипа анальной области,0,8000,0,60,
Удаление сторожевых бугорков,0,9000,0,60,A16.01.017
Установка лигатуры для формирования линейного свищевого хода,0,5500,0,60,
Хирургическая санация перианальной области (вскрытие),0,7000,0,40,
"Энуклеация тромбированного наружного геморроидального узла электрохирургическим методом размерами 1,5 - 4 см",0,15000,0,60,
Энуклеация тромбированного наружного геморроидального узла электрохирургическим методом размерами более 4 см,0,17500,0,60,
Психиатрия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Прием психиатра,0,3000,3000,45,B01.035.001
Пульмонология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Прием врача пульмонолога первичный,0,2000,2000,30,B01.037.001
Прием врача пульмонолога повторный,0,2000,2000,30,B01.037.002
Реаниматология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Ревматолог,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Внутрисуставная инъекция (без учета препарата),0,2000,2000,5,
Диагностическая пункция сустава (с целью изъятия синовиальной жидкости),0,1500,1500,10,
Локальная инъекционная терапия (блокада) одной зоны (анестетик + Дипроспан) + 1 ампула,0,900,900,5,А11.02.002
Локальная инъекционная терапия (блокада) одной зоны(анестетик + Дипроспан/Дипромета),0,3000,3000,10,А11.02.002
Повторный прием ревматолога с проведением УЗИ суставов,0,4100,4100,40,А11.02.002
Прием ревматолога (первично),2500,2500,2500,30,B01.040.001
Прием ревматолога (повторно),2500,2500,2500,30,B01.040.002
УЗИ голеностопного сустава,0,2000,2000,10,A04.04.001.1
УЗИ коленного сустава,0,2000,2000,10,A04.04.001.2
УЗИ локтевого сустава,0,2000,2000,10,A04.04.001.3
УЗИ лучезапястного сустава,0,2000,2000,10,A04.04.001.4
УЗИ плечевого сустава,0,2000,2000,10,A04.04.001.5
УЗИ суставов стоп,0,2000,2000,10,A04.04.001.6
УЗИ тазобедренных суставов,0,2000,2000,10,A04.04.001.7
Рентгенология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Диагностика сколиоза (рентгенография шейного, грудного и пояснично-крестцового отделов позвоночника)",4300,0,0,45,"A06.03.010
A06.03.013
A06.03.016"
Запись исследования на диск,200,0,0,5,
Маммография двух молочных желез.,2600,0,0,20,A06.20.004.007
Маммография одной молочной железы.,1300,0,0,20,A06.20.004.007
Распечатка рентгеновского снимка на пленке,500,0,0,5,
Рентгенография 2-х кистей (для ревматолога),2000,0,0,20,A06.03.032
Рентгенография 2-х стоп (для ревматолога),2000,0,0,20,
Рентгенография акромиально-ключичного сустава,1200,0,0,20,A06.04.013
Рентгенография бедра,1600,0,0,20,A06.03.043
Рентгенография верхних шейных позвонков в прямой проекции через открытый рот,1500,0,0,20,A06.03.007
Рентгенография височно-нижнечелюстного сустава,1400,0,0,20,A06.04.001
Рентгенография височной кости,1100,0,0,20,A06.25.002
Рентгенография голени (в двух проекциях),1600,0,0,20,A06.03.036
Рентгенография голеностопного сустава (в двух проекциях),1200,0,0,20,A06.04.012
Рентгенография грудного отдела позвоночника (в двух проекциях),1700,0,0,20,A06.03.013
Рентгенография кисти,1400,0,0,20,A06.03.032
Рентгенография кисти для определения костного возраста,1600,0,0,20,A06.03.032
Рентгенография ключицы,1100,0,0,20,A06.03.022
Рентгенография коленного сустава (в двух проекциях),1200,0,0,20,A06.04.005
Рентгенография копчика,1200,0,0,20,A06.03.017
Рентгенография костей лицевого скелета,1100,0,0,20,A06.03.056
Рентгенография костей таза,1700,0,0,20,A06.03.041
Рентгенография костей черепа (в двух проекциях),1100,0,0,20,A06.03.060
Рентгенография крестца,1200,0,0,20,A06.03.017
Рентгенография крестца и копчика,1500,0,0,20,A06.03.017
Рентгенография крестцово-подвздошных суставов,900,0,0,20,A06.03.037
Рентгенография крыла подвздошной кости,900,0,0,20,A06.03.037
Рентгенография легких (в двух проекциях),1200,0,0,20,A06.09.007
Рентгенография легких в боковой проекции в положении больного на спине,1200,0,0,20,A06.09.007
Рентгенография лобкового симфиза,1400,0,0,20,A06.03.039
Рентгенография локтевого сустава (в двух проекциях),1200,0,0,20,A06.04.003
Рентгенография лопатки,1100,0,0,20,A06.03.026
Рентгенография лучезапястного сустава (в двух проекциях),1200,0,0,20,A06.04.004
Рентгенография надколенника,1200,0,0,20,A06.03.045
Рентгенография носоглотки (аденоиды),1200,0,0,20,A06.08.001
Рентгенография пальцев кисти (обе руки),1100,0,0,20,A06.03.033
Рентгенография пальцев стопы,1100,0,0,20,A06.03.051
Рентгенография плеча (кость),1600,0,0,20,A06.03.028
Рентгенография плечевого сустава,1200,0,0,20,A06.04.010
Рентгенография пояснично-крестцового отдела позвоночника (в двух проекциях),1700,0,0,20,A06.03.016
Рентгенография пояснично-крестцового отдела позвоночника с функциональными пробами,1800,0,0,20,A06.03.019
Рентгенография предплечья (в двух проекциях),1600,0,0,20,A06.03.021
Рентгенография придаточных пазух носа,1200,0,0,20,A06.08.003
Рентгенография пяточной кости,1100,0,0,20,A06.03.050
Рентгенография ребра (ребер),1400,0,0,20,A06.03.023
Рентгенография стоп ( на поперечное плоскостопие ) с функциональной нагрузкой 1 снимок,2000,0,0,20,A06.03.053.001
Рентгенография стоп ( на продольное плоскостопие ) с функциональной нагрузкой 2 снимка,2200,0,0,20,A06.03.053.001
Рентгенография стоп с функциональной нагрузкой ( поперечное и продольное плоскостопие),4000,0,0,20,
Рентгенография стопы (в двух проекциях),1400,0,0,20,A06.03.053
Рентгенография тазобедренных суставов (пара),1200,0,0,20,A06.04.011
Рентгенография турецкого седла,1100,0,0,20,A06.03.001.001
Рентгенография шейного отдела позвоночника (в двух проекциях),1500,0,0,20,A06.03.010
Рентгенография шейного отдела позвоночника с функциональными пробами,1700,0,0,20,A06.03.019
Терапевт,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Прием терапевта,1700,1700,1700,30,В01.047.001
Прием терапевта (повторно),1700,1700,1700,30,В01.047.002
Прием терапевта на дому (выезд),4000,4000,4000,5,В01.047.001
Травматология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
2 внутрисуставных инъекций (травматолог-ортопед),4000,4000,4000,20,A11.04.004.002
Внутрисуставная инъекция (травматолог-ортопед),2000,2000,2000,20,A11.04.004.001
Внутрисуставная инъекция с лекарственным препаратом Дипроспан/Дипромета (травматолог-ортопед),3000,3000,3000,20,A11.04.004
Внутритканевая электростимуляция (ВТЭС) 1 процедура в травматологии,0,1200,1200,30,
Внутритканевая электростимуляция (ВТЭС) 10 процедур в травматологии,0,9500,9500,30,
Внутритканевая электростимуляция (ВТЭС) 3 процедуры в травматологии,0,2900,2900,30,
Внутритканевая электростимуляция (ВТЭС) 5 процедур в травматологии,0,4900,4900,30,
Высокоинтенсивная магнитотерапия (SIS) (две зоны) в травматологии,0,3500,0,30,
Высокоинтенсивная магнитотерапия (SIS) (одна зона) в травматологии,0,2500,0,30,
Высокоинтенсивная магнитотерапия (SIS) (одна зона) курс из 3 процедур в травматологии,0,6000,0,30,
Высокоинтенсивная магнитотерапия (SIS) (одна зона) курс из 5 процедур в травматологии,0,10000,0,30,
Высокоинтенсивная магнитотерапия (SIS) 10 мин,0,2500,0,15,
Высокоинтенсивная магнитотерапия (SIS) 20 мин,0,3500,0,30,
Высокоинтенсивная магнитотерапия (SIS) 30 мин,0,4000,0,40,
Высокоинтенсивная магнитотерапия (SIS) курс из 5 процедур/10 мин,0,10000,0,15,
Высокоинтенсивная магнитотерапия (SIS) курс из 5 процедур/20 мин,0,14000,0,30,
Комплексная диагностика и изготовление индивидуальных ортопедических стелек (ФормТотикс).,0,7500,0,30,А23.30.001
Коррекция индивидуальных ортопедических стелек (ФормТотикс).,0,1000,0,20,
Локальная инъекционная терапия (блокада) одной зоны(анестетик + Дипроспан/Дипромета).,3000,3000,3000,10,А11.03.004
"Обезболивание места перелома , ушиба",1200,1200,1200,10,
Первичный прием травматолога-ортопеда,2000,2000,2000,40,В01.050.001
Перевязка у травматолога,1000,1000,1000,10,
Периартикулярная инъекция (травматолог-ортопед),1500,1500,1500,30,A11.04.006
Плазмотерапия сустава(PRP-терапия) (1 пробирка),3000,3000,3000,30,A11.01.002.001
Плазмотерапия сустава(PRP-терапия) (3 пробирки),8000,7800,7800,30,A11.01.002.003
Плазмотерапия суставов (PRP-терапия) - 2 пробирки,6000,6000,6000,30,
Плазмотерапия суставов (PRP-терапия) - 2 сустава,6000,6000,6000,30,A11.01.002.002
Повторный прием травматолога-ортопеда,2000,2000,2000,30,В01.050.002
Пункция сустава,1500,1500,1500,20,A11.04.005
УВТ (Ударно-волновая терапия),1900,1900,1900,20,A22.30.015
УВТ (Ударно-волновая терапия) 2 зоны,3800,3800,0,40,A22.30.015
УВТ (Ударно-волновая терапия) 3 зоны,5700,5700,0,40,A22.30.015
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (3000 импульсов),0,2900,0,25,
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов),0,3800,0,25,A22.30.015
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов) курс из 3 процедур,0,9500,0,25,A22.30.015
Фокусированная ударно-волновая терапия (ФУВТ) — 1 зона (4000 импульсов) курс из 5 процедур,0,15000,0,25,A22.30.015
Фокусированная ударно-волновая терапия (ФУВТ) — 2 зоны (3000 импульсов),0,5800,0,40,
УЗИ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Допплерография сосудов матки и плода,2000,2000,2000,20,А04.12.024
"Женское здоровье ПЛЮС (УЗИ щитовидной железы с периферическими узлами, УЗИ органов малого таза (трансвагинально), УЗИ молочных желез с периферическими лимфоузлами, УЗИ органов брюшной полости)",6600,6600,6600,80,"А04.22.001
А04.20.001.001
A04.16.001"
Нейросонография (УЗИ головного мозга у новорожденных),1600,1600,1600,20,A04.23.001
"Программа ""Женское здоровье"" (УЗИ щитовидной железы с периферическими узлами, УЗИ органов малого таза (трансвагинально), УЗИ молочных желез с периферическими лимфоузлами)",4400,4400,4400,60,"А04.22.001
А04.20.001.001
A04.20.002"
"Программа ""Мужское здоровье"" (УЗИ комплексное урологическое (почки, мочеточники, мочевой пузырь, простата),УЗИ органов мошонки",4900,4900,4900,50,"A04.28.002
A04.28.003"
УЗИ 1-й триместр беременности (12-14 недель )  многоплодная беременность + допплерография,2800,2800,2800,40,"A04.30.001
A04.12.024
"
УЗИ 1-й триместр беременности (12-14 недель )  многоплодная беременность.,2400,2400,2400,30,A04.30.001
УЗИ 1-й триместр беременности (12-14 недель),1900,1900,1900,20,"А04.30.001.001
"
УЗИ 1-й триместр беременности (12-14 недель) + допплерография,2700,2700,2700,30,"A04.30.001
A04.12.024"
УЗИ 2-й триместр беременности (22-24 недель),2300,2300,2300,30,"А04.30.001
"
УЗИ 2-й триместр беременности (22-24 недель) многоплодная беременность,3000,3000,3000,40,"А04.30.001
"
УЗИ 2-й триместр беременности (22-24 недель) многоплодная беременность + допплерографя,3500,3500,3500,40,"A04.30.001
A04.12.024
"
УЗИ 2-й триместр беременности с оценкой органов и систем плода + допплерография,3100,3100,3100,30,"A04.30.001
A04.12.024

"
УЗИ 3-й триместр беременности (32-34 недели),2600,2600,2600,30,"А04.30.001.007
"
УЗИ 3-й триместр беременности (32-34 недели) многоплодная беременность,3000,3000,3000,40,"А04.30.001.007
"
УЗИ 3-й триместр беременности (32-34 недели) многоплодная беременность + допплерография,3500,3500,3500,40,"A04.30.001
A04.12.024
"
УЗИ 3-й триместр беременности с оценкой органов и систем плода + допплерография,3100,3100,3100,30,"A04.30.001
A04.12.024

"
УЗИ артерий верхних конечностей,2100,2100,2100,20,"A04.12.005.002 
"
УЗИ артерий и вен верхних конечностей,3800,3800,3800,40,"A04.12.005
"
УЗИ артерий и вен нижних конечностей,4300,4300,4300,45,"A04.12.006
"
УЗИ артерий нижних конечностей и подвздошно-бедренного сегмента,2300,2300,2300,30,"A04.12.006.001 
"
УЗИ вен верхних конечностей,2000,2000,2000,20,"A04.12.005.004 
"
УЗИ вен нижних конечностей и подвздошно-бедренного сегмента (диагностика тромбоза),2300,2300,2300,30,"A04.12.006.002 
"
УЗИ грудных желез и регионарных лимфоузлов у мужчин,1200,1200,1200,25,A04.20.002
Узи желчного пузыря,1000,1000,1000,15,
УЗИ желчного пузыря с определением функции,1400,1400,1400,15,"A04.14.002.001
"
"УЗИ комплексное (брюшная полость + почки, надпочечники)",2600,2600,2600,30,"A04.16.001
А04.30.003
"
"УЗИ комплексное урологическое (почки, мочеточники, мочевой пузырь, простата, определение остаточной мочи)",3500,3500,3500,30,А04.28.002
УЗИ лимфатических узлов (1зона),1100,1100,1100,15,A04.06.002
УЗИ лонного сочленения,800,800,800,10,A04.03.001
УЗИ молочных желез с периферическими лимфоузлами,1700,1700,1700,30,"A04.20.002 
"
УЗИ мочевого пузыря с определением остаточной мочи,1100,1100,1100,15,"A04.28.002.005 
"
"УЗИ мягких тканей (кожи, подкожно-жировой клетчатки, мышц)",1100,1100,1100,15,"A04.01.001 
"
"УЗИ органов брюшной полости (печень, желчный пузырь и желчные протоки, селезенка, поджелудочная железа)",2200,2200,2200,20,"A04.16.001
"
УЗИ органов брюшной полости с определением функции желчного пузыря,2900,2900,2900,30,
"УЗИ органов брюшной полости с определением функции желчного пузыря + почки, надпочечники",3400,3400,3400,40,A04.16.001
УЗИ органов малого таза (определение малых сроков беременности – трансабдоминально),1700,1700,1700,15,А04.20.001.001
УЗИ органов малого таза (определение малых сроков беременности – трансвагинально),1900,1900,1900,20,А04.20.001.001
УЗИ органов малого таза (трансабдоминально + трансвагинально + допплерография),2500,2500,2500,30,А04.20.001.001
УЗИ органов малого таза (трансабдоминально + трансвагинально),2300,2300,2300,20,"A04.20.001
"
УЗИ органов малого таза (трансабдоминально),1700,1700,1700,15,"A04.20.001
"
УЗИ органов малого таза (трансвагинально),1900,1900,1900,20,"A04.20.001

"
УЗИ органов мошонки,1400,1400,1400,20,A04.28.003
УЗИ органов мошонки + допплерография,1800,1800,1800,20,"A04.28.003
"
УЗИ печени и желчного пузыря,1200,1200,1200,15,"А04.14.001
А04.14.002"
УЗИ печени и желчного пузыря + допплерография,2200,2200,2200,30,"А04.14.001
А04.14.002"
УЗИ печени и желчного пузыря с определением его функции,1900,1900,1900,25,А04.14.001 А04.14.002
УЗИ плевральной полости,900,900,900,10,"A04.09.001
"
Узи поджелудочной железы,1000,1000,1000,15,
УЗИ полового члена,1900,1900,1900,20,A04.21.002
УЗИ полового члена+ допплерография,2000,2000,2000,20,"A04.21.002
"
УЗИ почек + допплерография (дуплекс почечных артерий),2500,2500,2500,30,А04.28.002.001
"УЗИ почек, надпочечников",1500,1500,1500,15,А04.28.002
УЗИ почечного трансплантата с допплерографией,1700,1700,1700,20,
УЗИ предстательной железы (трансабдоминально),1700,1700,1700,15,"A04.21.001 
"
УЗИ предстательной железы + допплерография (трансректально),2000,2000,2000,20,"А04.21.001.001
"
УЗИ селезенки,1000,1000,1000,10,"A04.06.001 
"
УЗИ сердца (эхокардиография) + допплерография,2800,2800,2800,30,"A04.10.002
"
УЗИ слюнных желез с периферическими лимфоузлами,1200,1200,1200,20,A04.07.002
УЗИ сосудов головы и сосудов шеи,3700,3700,3700,40,А04.12.005.009
УЗИ сосудов полового члена с фармакологическими пробами,4000,4000,4000,40,A04.21.002.001
УЗИ тазобедренных суставов (у новорожденных и детей до года),1600,1600,1600,20,"A04.04.001.001
"
"УЗИ щитовидной железы с допплерографией, паращитовидными железами и региональными лимфатическими узлами",2800,2800,2800,30,А04.22.001
УЗИ щитовидной железы с паращитовидными железами,1900,1900,1900,20,"А04.22.001
"
УЗИ щитовидной железы с периферическими лимфоузлами,1600,1600,1600,15,А04.22.001
УЗИ щитовидной железы с периферическими лимфоузлами + допплерография,2300,2300,2300,30,А04.22.001
УЗИ экстракраниальных сосудов шеи,2600,2600,2600,20,А04.12.005.008
УЗИ яичников с фолликулометрией,1300,1300,1300,15,A04.20.003
Ультразвуковая эластометрия ахиллова сухожилия,2500,2500,2500,15,
Ультразвуковая эластометрия печени,2900,2900,2900,20,
Ультразвуковая эластометрия шейки матки во 2-3 триместрах беременности,2500,2500,2500,15,
Ультразвуковое исследование молочных желез с эластометрией,2700,2700,2700,40,
Ультразвуковое исследование щитовидной железы с эластометрией,2600,2600,2600,30,
ЦДС брюшной аорты (допплерография забрюшинного пространства +гепатодуоденальная зона),2500,2500,2500,30,А04.12.003
ЦДС брюшной аорты (допплерография забрюшинного пространства),2100,2100,2100,30,А04.12.003
Цервикометрия (трансвагинально),1200,1200,1200,15,A04.20.001.004
Эхокардиография с допплером (УЗИ сердца),2800,2800,2800,30,"A04.10.002
"
Урология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Введение лекарственного препарата на основе тестостерона, внутрикавернозно",0,1000,0,20,
Взятие секрета простаты (соскоб),900,900,0,5,"A11.21.004
"
"Вибрационная магнито-лазерная терапия на аппарате ""Матрикс-уролог""",1500,1500,0,10,A22.30.006
Вправление парафимоза,0,6000,0,15,A16.28.058
Вправление фимоза,2000,2000,0,10,"A16.28.058
"
Высокоинтенсивная магнитотерапия (SIS)  ( 1 сеанс 20 мин),0,2500,0,30,
Высокоинтенсивная магнитотерапия (SIS) (курс из 10 сеансов),0,17500,0,30,
Высокоинтенсивная магнитотерапия (SIS) (курс из 14 сеансов),0,25000,0,30,
Высокоинтенсивная магнитотерапия (SIS) (курс из 7 сеансов),0,12500,0,30,
Денервация головки полового члена,0,49000,0,50,"A16.21.044
"
Забор из уретры на микроскопию,300,300,0,5,
"Забор мазка из уретры (микроскопия, ПЦР) без приема уролога",600,600,0,10,
Замена цистомического дренажа,1700,1700,0,20,"A16.28.072.001
"
"Инстилляция в мочевой пузырь антисептический р-р, 1 процедура",0,2500,0,20,
"Инстилляция в мочевой пузырь смеси: гепарин 5000 МЕ, гентамицин 80 мг, лидокаин 20 мг, дексаметазон 4 мг",0,3800,0,30,
Инстилляция уретры в урологии,0,2500,0,20,A11.28.009
Инфильтрационная анестезия в урологии (врачебная манипуляция),0,2000,0,10,
